"album_id","album_name","original_artist","action","distinct_artists","total_tracks","top1_artist","top1_tracks","top2_artist","top2_tracks","top3_artist","top3_tracks","notes"
8209,"SAR Records Story","Sam Cooke","SPLIT_PER_ARTIST",3,3,"Sam Cooke",1,"The Simms Twins",1,"The Soul Stirrers",1,"no clusters, sparse anomaly"
10089,"SaG's Indie Electro Rock Playlist Best Of 2009","deadmau5","KEEP_AS_VA",3,3,"deadmau5",1,"Scissors for Lefty",1,"The Von Bondies",1,"no clusters, comp-shape/name"
9323,"SaG's Indie Electro Rock Playlist December 2009","Cold War Kids","KEEP_AS_VA",3,3,"Cold War Kids",1,"Customs",1,"The Sinful Saints",1,"no clusters, comp-shape/name"
9972,"SaG's Indie Electro Rock Playlist January 2010","Miike Snow","KEEP_AS_VA",3,3,"Miike Snow",1,"The Bucket",1,"Blakfish",1,"no clusters, comp-shape/name"
1216,"Super Hits","The Hollies","SPLIT_PER_ARTIST",3,3,"The Hollies",1,"Waylon Jennings",1,"B.J. Thomas",1,"no clusters, sparse anomaly"
2847,"The Christmas Song","Nat King Cole Trio","SPLIT_PER_ARTIST",3,3,"Nat King Cole",1,"Nat King Cole Trio",1,"Roger Whittaker",1,"no clusters, sparse anomaly"
1585,"The Collection","Barrett Strong","SPLIT_PER_ARTIST",3,3,"Barrett Strong",1,"The Crickets",1,"Bobby McFerrin",1,"no clusters, sparse anomaly"
217,"The Time‐Life Treasury of Christmas","André Previn","KEEP_AS_VA",3,3,"André Previn",1,"Harry Simeone Chorale",1,"Dolly Parton",1,"no clusters, comp-shape/name"
1583,"Well Done","King Floyd","SPLIT_PER_ARTIST",3,3,"King Floyd",1,"Statik Selektah",1,"Action Bronson & Statik Selektah",1,"no clusters, sparse anomaly"
446,"The Ultimate Collection","Black Sabbath","SPLIT_PER_ARTIST",2,28,"The Kinks",23,"Black Sabbath",5,,0,"2 clusters, name collision"
2509,"All Time Greatest Hits","Eddie Rabbitt","COLLAPSE_TO_PRIMARY",2,7,"Lynyrd Skynyrd",6,"Eddie Rabbitt",1,,0,"single cluster (Lynyrd Skynyrd: 6)"
263,"II","The Presidents of the United States of America","COLLAPSE_TO_PRIMARY",2,6,"The Presidents of the United States of America",4,"Meat Puppets",2,,0,"single cluster (The Presidents of the United States of America: 4)"
6837,"...Featuring","Sean Bones","SPLIT_PER_ARTIST",2,2,"Foo Fighters",1,"Sean Bones",1,,0,"no clusters, sparse anomaly"
3796,"Africa","Weezer","SPLIT_PER_ARTIST",2,2,"Pharoah Sanders",1,"Rhythms Del Mundo",1,,0,"no clusters, sparse anomaly"
2318,"Dreams","Beck","SPLIT_PER_ARTIST",2,2,"The Allman Brothers Band",1,"The Whitest Boy Alive",1,,0,"no clusters, sparse anomaly"
3681,"Guardians of the Galaxy: Awesome Mix Vol. 1","Marvin Gaye & Tammi Terrell","KEEP_AS_VA",2,2,"Marvin Gaye & Tammi Terrell",1,"Rupert Holmes",1,,0,"no clusters, comp-shape/name"
3950,"Platinum & Gold Collection","The Guess Who","SPLIT_PER_ARTIST",2,2,"The Guess Who",1,"DJ Jazzy Jeff & The Fresh Prince",1,,0,"no clusters, sparse anomaly"
730,"Such Great Heights","The Shins","SPLIT_PER_ARTIST",2,2,"The Shins",1,"The Postal Service",1,,0,"no clusters, sparse anomaly"
3400,"Christmas Number 1's","Bobby Helms","KEEP_AS_VA",1,2,"Burl Ives",2,,0,,0,"no clusters, comp-shape/name"
3807,"80 Totally 80s Hits","Quiet Riot","SPLIT_PER_ARTIST",1,1,"Quiet Riot",1,,0,,0,"no clusters, sparse anomaly"
10211,"B Movie OST","The Morning Benders","KEEP_AS_VA",1,1,"Metallica",1,,0,,0,"no clusters, comp-shape/name"
9862,"Garden State Soundtrack","Iron & Wine","KEEP_AS_VA",1,1,"Iron & Wine",1,,0,,0,"no clusters, comp-shape/name"
8611,"Guardians of the Galaxy: Awesome Mix, Vol. 1 (Original Motion Picture Soundtrack)","The Jackson 5","KEEP_AS_VA",1,1,"Rupert Holmes",1,,0,,0,"no clusters, comp-shape/name"
3589,"The Cream of Clapton","Derek & The Dominos","SPLIT_PER_ARTIST",1,1,"Eric Clapton",1,,0,,0,"no clusters, sparse anomaly"
2006,"Time Pieces: The Best Of Eric Clapton","Derek and the Dominos","KEEP_AS_VA",1,1,"Derek & The Dominos",1,,0,,0,"no clusters, comp-shape/name"
3388,"Time-Life Treasury of Christmas","Ed Ames","KEEP_AS_VA",1,1,"Dolly Parton",1,,0,,0,"no clusters, comp-shape/name"
29,"L4YER CAKƐ: Music From the Motion Picture","Lisa Gerrard with Michael Gambon","KEEP_AS_VA",,,,0,,0,,0,"no clusters, comp-shape/name"
3143,"On Air Live at the BBC Vol. 2","Lee Peters, Ringo Starr & John Lennon","KEEP_AS_VA",,,,0,,0,,0,"no clusters, comp-shape/name"
